gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000001150	592.4812	0.06203007	0.06526608	0.09022589	1
ENSMUSG00000001151	346.5292	-0.03996521	0.0713036	0.1865928	1
ENSMUSG00000001155	1.040463	-0.005948993	0.08290133	0.09097164	1
ENSMUSG00000001156	206.1956	0.0355835	0.07582626	0.1114718	1
ENSMUSG00000001157	213.8459	-0.001519584	0.06984068	0.9597696	1
ENSMUSG00000001158	117.5719	-0.01503595	0.07462041	0.5048244	1
ENSMUSG00000001166	4.535791	0.004748373	0.07824904	0.5751049	1
ENSMUSG00000001173	680.5938	0.02499851	0.06882843	0.4337074	1
ENSMUSG00000001175	16802.97	0.01258347	0.06489453	0.7171484	1
ENSMUSG00000001211	1125.71	-0.02450072	0.06515783	0.482217	1
ENSMUSG00000001225	1.156625	-0.001191313	0.07893855	0.7419293	1
ENSMUSG00000001227	592.0852	-0.04168404	0.06455777	0.2454522	1
ENSMUSG00000001228	7.522201	0.006370752	0.07801011	0.5300592	1
ENSMUSG00000001229	235.7013	0.01174112	0.07360846	0.6316072	1
ENSMUSG00000001240	32.10067	0.006594359	0.07595962	0.7219891	1
ENSMUSG00000001247	18.01572	-0.02173086	0.07780053	0.1234387	1
ENSMUSG00000001248	652.8592	-0.07544068	0.06702883	0.03954124	1
ENSMUSG00000001249	3.145458	0.001547929	0.07855836	0.7906824	1
ENSMUSG00000001260	568.0121	-0.01608598	0.07583992	0.4112615	1
ENSMUSG00000001270	6212.139	-0.007107252	0.07181524	0.7958494	1
ENSMUSG00000001280	383.08	0.05459943	0.06943353	0.1027252	1
ENSMUSG00000001281	2.886237	6.345268e-05	0.07863174	0.9902069	1
ENSMUSG00000001285	148.3506	0.0001101265	0.07231761	0.9966938	1
ENSMUSG00000001288	49.62704	0.0112351	0.07588042	0.5551977	1
ENSMUSG00000001289	642.2283	-0.0126712	0.07007195	0.6731332	1
ENSMUSG00000001300	519.3311	0.005232023	0.07348804	0.8309002	1
ENSMUSG00000001305	74.9665	-0.00752673	0.07256827	0.7743081	1
ENSMUSG00000001313	403.425	0.004422333	0.07048016	0.8801795	1
ENSMUSG00000001323	497.7333	0.06308557	0.06823127	0.07188076	1
ENSMUSG00000001333	3.800535	-0.004522555	0.07860002	0.4574389	1
ENSMUSG00000001334	258.0465	0.008684099	0.07455125	0.6974876	1
ENSMUSG00000001348	0.3747691	0.001259406	0.08155384	0.5193461	1
ENSMUSG00000001349	2.348044	0.001292622	0.07880485	0.756701	1
ENSMUSG00000001366	349.6968	-0.06132716	0.07266452	0.04824588	1
ENSMUSG00000001376	707.0902	0.07011699	0.07132969	0.03555753	1
ENSMUSG00000001380	400.4646	-0.0307848	0.07236177	0.2716583	1
ENSMUSG00000001383	421.8324	-0.0248103	0.07453971	0.2932459	1
ENSMUSG00000001403	1.308448	-0.0002228361	0.07891358	0.9500686	1
ENSMUSG00000001415	721.4212	0.01691466	0.07103904	0.559005	1
ENSMUSG00000001416	760.7181	-0.05253977	0.06637707	0.1385369	1
ENSMUSG00000001418	130.3024	-0.01480321	0.07203084	0.589022	1
ENSMUSG00000001419	834.3893	0.01141188	0.07467118	0.6071632	1
ENSMUSG00000001420	2.149282	0.004660043	0.07896733	0.3213307	1
ENSMUSG00000001424	659.5347	-0.04488075	0.06486489	0.2110131	1
ENSMUSG00000001435	24.57736	-0.005703171	0.0760132	0.755729	1
ENSMUSG00000001436	69.31094	-0.01545653	0.07360962	0.531281	1
ENSMUSG00000001440	1511.471	-0.02247294	0.0603795	0.5433727	1
ENSMUSG00000001441	789.8658	0.04915952	0.06508008	0.171944	1
ENSMUSG00000001444	0.1141582	0.0003377282	0.08245831	0.8291495	1
ENSMUSG00000001445	240.4018	0.009686678	0.07043472	0.7425907	1
ENSMUSG00000001467	340.0816	0.0008649466	0.06581148	0.979698	1
ENSMUSG00000001472	2203.513	-0.04844347	0.06639803	0.1688528	1
ENSMUSG00000001473	4.194698	-0.003723114	0.07865802	0.5020917	1
ENSMUSG00000001482	279.889	0.002192576	0.0676384	0.9461738	1
ENSMUSG00000001493	5.474115	-0.004168378	0.07875623	0.421834	1
ENSMUSG00000001494	0.5342352	0	0.08162705	1	1
ENSMUSG00000001496	13.39145	-0.003150411	0.07800527	0.7499796	1
ENSMUSG00000001504	1.713454	-0.0028452	0.07904867	0.4612646	1
ENSMUSG00000001506	18.86006	0.00670375	0.07793754	0.5269208	1
ENSMUSG00000001507	77.96303	-0.04445496	0.07673765	0.04520971	1
ENSMUSG00000001508	0.2946444	-0.0003240915	0.08204659	0.8406077	1
ENSMUSG00000001517	6.39792	0.01298922	0.07864124	0.1243899	1
ENSMUSG00000001518	106.6609	-0.01924319	0.07380905	0.4334016	1
ENSMUSG00000001520	94.87092	-0.04133775	0.07712687	0.04581611	1
ENSMUSG00000001521	93.9603	0.007944523	0.07635912	0.6468406	1
ENSMUSG00000001524	67.31235	-0.02159253	0.07475087	0.3440302	1
ENSMUSG00000001525	1900.449	-0.03558942	0.06489601	0.3152683	1
ENSMUSG00000001542	139.2358	0.03445691	0.07497249	0.1501484	1
ENSMUSG00000001552	320.6953	0.01135088	0.07241263	0.6700091	1
ENSMUSG00000001555	34.65978	0.01322146	0.07676565	0.4202828	1
ENSMUSG00000001558	2.680375	-0.005018468	0.07959701	0.2141436	1
ENSMUSG00000001569	215.5656	-0.09982844	0.06982374	0.007236427	0.7669061
ENSMUSG00000001576	544.2179	-0.008169214	0.06612687	0.8090431	1
ENSMUSG00000001583	0.3021154	0.0005903131	0.08294385	0.7073598	1
ENSMUSG00000001588	0.2429496	-0.0007115341	0.08307007	0.6555418	1
ENSMUSG00000001604	0.9781863	0.001458291	0.07903016	0.6711329	1
ENSMUSG00000001627	157.337	0.004834582	0.07027741	0.8702826	1
ENSMUSG00000001630	219.3127	0.04786194	0.06951784	0.1447414	1
ENSMUSG00000001632	210.1574	0.007336862	0.06356015	0.836056	1
ENSMUSG00000001642	253.7833	-0.01018289	0.07104555	0.7225992	1
ENSMUSG00000001655	0.05980673	0	0.08222491	1	1
ENSMUSG00000001663	33.36425	-0.001467767	0.07622415	0.933368	1
ENSMUSG00000001665	15.77461	-0.004313894	0.07770709	0.7105847	1
ENSMUSG00000001666	73.48216	0.01080889	0.07505689	0.6107047	1
ENSMUSG00000001670	0.5720384	-0.0004156352	0.07965439	0.859404	1
ENSMUSG00000001672	2.75929	-0.0005012618	0.07866372	0.9192088	1
ENSMUSG00000001674	116.6042	-0.009323592	0.07150054	0.7391905	1
ENSMUSG00000001687	1278.65	0.01478419	0.06782463	0.6492381	1
ENSMUSG00000001700	92.19137	-0.02928647	0.07494526	0.2085965	1
ENSMUSG00000001707	94.80892	-0.01285432	0.0747098	0.5624474	1
ENSMUSG00000001729	721.3184	-0.01393023	0.06401605	0.6930153	1
ENSMUSG00000001739	2.387866	-0.0006650482	0.07885677	0.8620729	1
ENSMUSG00000001741	24.89251	0.01055447	0.07676588	0.5130557	1
ENSMUSG00000001750	67.86318	-0.04152709	0.07541074	0.0862348	1
ENSMUSG00000001751	53.58455	-0.008801921	0.075882	0.6410588	1
ENSMUSG00000001755	101.3396	-0.00198738	0.07172815	0.942456	1
ENSMUSG00000001761	89.7686	-0.01947575	0.0762502	0.3001927	1
ENSMUSG00000001763	58.88081	-0.000717465	0.07565071	0.9703554	1
ENSMUSG00000001767	184.4763	0.01039669	0.07171347	0.7075843	1
ENSMUSG00000001768	199.6815	0.0009405292	0.07063547	0.9742211	1
ENSMUSG00000001773	70.86553	0.01448817	0.07477691	0.512988	1
ENSMUSG00000001774	277.6048	0.02975348	0.06861172	0.3583672	1
ENSMUSG00000001783	658.1942	-0.01992681	0.06993846	0.513292	1
ENSMUSG00000001785	181.9335	-0.009048803	0.06760916	0.7811856	1
ENSMUSG00000001786	260.0028	0.001747739	0.07248768	0.9470032	1
ENSMUSG00000001794	354.9954	-0.01839503	0.07253862	0.4921444	1
ENSMUSG00000001802	341.5067	-0.09520114	0.06952821	0.0099438	0.8398082
ENSMUSG00000001815	0.1750573	0	0.08222491	1	1
ENSMUSG00000001827	1.527098	-0.0008899625	0.07894056	0.8018622	1
ENSMUSG00000001829	328.2311	0.03388965	0.06684609	0.3202339	1
ENSMUSG00000001833	1675.376	-0.002991057	0.06994715	0.920588	1
ENSMUSG00000001844	111.0748	-0.0001244958	0.07154726	0.9964273	1
ENSMUSG00000001847	1473.572	-0.06433114	0.05203319	0.09070958	1
ENSMUSG00000001855	295.3827	0.01153233	0.07474054	0.6008211	1
ENSMUSG00000001864	72.09698	0.0005944601	0.07380533	0.9800747	1
ENSMUSG00000001870	41.47078	-0.04149533	0.07577144	0.07756286	1
ENSMUSG00000001891	517.4118	0.01146522	0.06713705	0.7285848	1
ENSMUSG00000001901	12.16553	-0.01701805	0.07819468	0.1349901	1
ENSMUSG00000001909	277.5459	0.02031441	0.06752386	0.5375855	1
ENSMUSG00000001910	457.7227	0.02239207	0.06416174	0.5269458	1
ENSMUSG00000001911	228.8766	0.00907525	0.07708942	0.5393223	1
ENSMUSG00000001918	12.16826	-0.009094145	0.07752247	0.4824322	1
ENSMUSG00000001924	1853.397	-0.01011834	0.0639569	0.7741665	1
ENSMUSG00000001930	130.4374	0.03007254	0.0772687	0.08999365	1
ENSMUSG00000001942	116.3275	0.01768638	0.07324658	0.4881425	1
ENSMUSG00000001943	4.161021	-0.002832557	0.07869278	0.5804156	1
ENSMUSG00000001946	59.335	-0.01921338	0.07536642	0.3633789	1
ENSMUSG00000001948	8.975697	-0.002289944	0.07796759	0.8200961	1
ENSMUSG00000001962	70.11631	-0.05343063	0.07714192	0.02295526	0.9955584
ENSMUSG00000001964	105.372	-0.05105539	0.0764005	0.03498042	1
ENSMUSG00000001983	40.64643	0.01851804	0.07438874	0.4272282	1
ENSMUSG00000001985	577.5444	-0.002085938	0.07446138	0.9257245	1
ENSMUSG00000001986	1662.997	0.05374782	0.07212864	0.08033536	1
ENSMUSG00000001988	5.200822	-0.009537119	0.07904357	0.1296622	1
ENSMUSG00000001995	263.3164	-0.01288137	0.07083889	0.6575218	1
ENSMUSG00000001998	167.6733	-0.02440751	0.0727582	0.3632457	1
ENSMUSG00000001999	67.54273	0.009933326	0.07603881	0.5909275	1
ENSMUSG00000002006	962.9847	-0.03298469	0.07059176	0.2797552	1
ENSMUSG00000002007	29.06053	0.0002835405	0.07763401	0.9809423	1
ENSMUSG00000002010	505.9152	-0.01023077	0.0671045	0.7568612	1
ENSMUSG00000002012	542.5743	-0.05731521	0.07639473	0.02463164	1
ENSMUSG00000002014	186.303	0.006911666	0.06967402	0.8200322	1
ENSMUSG00000002015	217.8009	-0.02114843	0.06614647	0.534939	1
ENSMUSG00000002017	110.8653	-0.009973551	0.07001088	0.7398542	1
ENSMUSG00000002020	4.064717	-0.003543216	0.07833615	0.6466362	1
ENSMUSG00000002028	1745.888	0.008396826	0.07671303	0.6031417	1
ENSMUSG00000002031	151.2809	0.01638527	0.07219239	0.5472705	1
ENSMUSG00000002032	96.1471	-0.02044849	0.07335605	0.4227561	1
ENSMUSG00000002043	35.40219	0.02123869	0.07566258	0.3029385	1
ENSMUSG00000002052	1198.034	-0.02741956	0.05916169	0.4631801	1
ENSMUSG00000002055	22.94189	-0.00783308	0.07771156	0.5106798	1
ENSMUSG00000002058	57.13972	-0.01356645	0.07598234	0.473671	1
ENSMUSG00000002059	132.2046	-0.00498724	0.07297116	0.8448011	1
